ENGLISH	QUENYA
Paul, called to be Jesus Christ's apostle through God's will, and Sosthenes our brother,	Paul, called to be Jesus Christ's apostle through God's will, and Sosthenes our brother,
to God's congregation which is in Corith – to you that have been hallowed in Jesus Christ, called to be holy, with all that in every place are calling upon the name of our Lord, Jesus Christ, their Lord and our Lord.	to God's congregation which is in Corith – to you that have been hallowed in Jesus Christ, called to be holy, with all that in every place are calling upon the name of our Lord, Jesus Christ, their Lord and our Lord.
May you have grace and peace from God our Father and the Lord Jesus Christ.	May you have grace and peace from God our Father and the Lord Jesus Christ.
I always give thanks to God for you, about God's greace given you in Jesus Christ,	I always give thanks to God for you, about God's greace given you in Jesus Christ,
that in everything you have been made rich by him, in every word and knowledge,	that in everything you have been made rich by him, in every word and knowledge,
since the witness of the Christ has been made firm among you.	since the witness of the Christ has been made firm among you.
Thus you do not lack a single gift, waiting for the revelation of our Lord Jesus Christ.	Thus you do not lack a single gift, waiting for the revelation of our Lord Jesus Christ.
He will also make you firm until the end, for you to be perfect on the day of Jesus Christ our Lord.	He will also make you firm until the end, for you to be perfect on the day of Jesus Christ our Lord.
God is faithful, by whom you were called to have a part with his Son, Jesus Christ our Lord.	God is faithful, by whom you were called to have a part with his Son, Jesus Christ our Lord.
Now I urge you, brothers, in the name of Jesus Christ our Lord, that all among you will say the same thing, and that will not be divisions among you, but that you will be one in the same mind and the same thought.	Now I urge you, brothers, in the name of Jesus Christ our Lord, that all among you will say the same thing, and that will not be divisions among you, but that you will be one in the same mind and the same thought.
For was told me about you, brothers, by the people from the house of Chloe, that there are quarrels among you.	For was told me about you, brothers, by the people from the house of Chloe, that there are quarrels among you.
I am talking about this thing, that everyone among you says: “I am for Paul“, “but I for Cephas“, “but I for Christ“.	I am talking about this thing, that everyone among you says: “I am for Paul“, “but I for Cephas“, “but I for Christ“.
The Christ is split. Surely Paul was not crucified for you? Or were you baptized in Paul's name?	The Christ is split. Surely Paul was not crucified for you? Or were you baptized in Paul's name?
I give thanks that I did not baptize any among you expect Crispus and Gaius.	I give thanks that I did not baptize any among you expect Crispus and Gaius.
Then you will not say that you were baptized in my name.	Then you will not say that you were baptized in my name.
Indeed I baptized also the family of Stephanas. Of the others I do not know that I baptized anyone.	Indeed I baptized also the family of Stephanas. Of the others I do not know that I baptized anyone.
