ENGLISH	QUENYA
Do you not know that if you give yourselves to anyone as thralls, to do what he says, you are his thralls since you do what he says – perhaps thralls of sin, leading to death, perhaps thralls of obedience , leading to righteousness.	Ma ualde ista i qui antalde inde aiquenen ve móli, carien ya quetis, nalde móliryar pan carilde ya quetis – cé úcareo móli, tulyala qualmenna, cé canwacimiéno móli, tulyala failienna.
To let also you know my matters, how I am doing, Tychicus – a beloved brother and a faithful servant in the Lord – will make everything known to you.	Lavien yando elden ista ninye nattor, manen cáran, Ticico – melda háno ar voronda núro i Herusse – caruva ilqua sinwa len.
As he was still speaking to the crowds, look! his mother and his brothers stood on the outside and wished to speak with him.	Íre en quétanes i şangannar, yé! amillerya ar hánoryar tarner i ettesse ar merner carpa óse.
When this man heard that Jesus had come out of Judea into Galilee, he went to him and asked of him that he was to come down to heal his son, for he was near to death.	Íre nér sina hlasse i Yésus náne túlienwa et Yúreallo mir Alilea, lendes senna ar arcane sello i tulumnes undu nestien yondorya, an anes hare qualmenna.
if indeed you heard him and were instructed by him, as is true in Jesus:	qui é hlasseldes ar náner peantaine lo sé, ve nanwa ná Yésusse:
When he came to the house of the ruler and saw the flute-players and the crowd making clamour,	Íre túles coanna i turwa ar cenne i simpetari ar i şanga cárala yalme,
Jesus answered them: “Is it not written in your Law: I said: You are gods – ?	Yésus hanquente téna: “Ma ua técina Şanyeldasse: Quenten: Nalde ainoli – ?
He said to him: “What are they?” Jesus answered: “You shall not kill, you shall not steal, you shall not speak a lying witness,	Quentes senna: “Mana nalte?” Yésus hanquente: “Ávalye nahta, ávalye pile, ávalye quete hurila vettie,
Thus is also the resurrection of dead: It is sown in a destructible state; it is raised in a state beyond destruction.	Sie ná yú i enortáve qualinaiva: Nas rérina mi nancárima sóma; nas ortana mi sóma han nancarie.
And I went to the angel and said to him that he was to give me the little book; and he said to me: “Take it and eat ; it shall be bitter to your belly, but sweet as honey in your mouth.”	Ar lenden i valanna ar quente senna i nin-antauvanes i pitya parma; ar quentes ninna: “Ása mapa ar mata; nauvas sára cumbalyan, mal lisse ve melu sangolyasse.”
And he summoned the twelve disciples and gave to them power over unclean spirits, for them to throw them out, and for them to heal every disease and every ailing condition.	Ar tultanes i hildor yunque ar antane tien túre or úpoice fairi, et-hatieltan te, ar nestieltan ilya hlíve ar ilya nimpa sóma.
And anything that you pray for in my name, that I will do, that] the Father will be glorified by means of the Son.	Ar aiqua ya arcalde essenyanen, ta caruvan, i nauva i Atar alcaryaina i Yondonen.
The blind see again, and the lame walk, the leprous are being cleansed and the deaf are hearing, and the dead are being raised, and the poor ones are hearing the gospel made known,	I laceníti cenir ata, ar i lalevíti vantar, i halmahlaiwar nar poitaine ar i hlárelórar hlárar, ar i qualinar nar ortaine, ar i penyar hlárar i evandilyon carna sinwa,
Then a person in the crowd said to him: “Teacher, say to my brother that is necessary for him to give me a portion in the inheritance!”	Tá quén i şangasse quente senna: “Peantar, queta hánonyanna i mauya sen anta nin masse i aryoniesse!”
These men are not full of wine as you suppose, for this is the third hour of the day.	Queni sine é uar quante limpeo ve intyalde, an si i neldea lúme i aureo ná.
Jesus answered: “The first is: Hear, Israel! The Lord our God, the Lord is one;	Yésus hanquente: “I minya ná: Hlara, Israel! I Héru Ainolva, i Héru ná er,
Give glory to all, love the brotherhood, fear God, give glory to the king!	Á anta alcar illin, mela i otornasse, ruca Erullo, á anta alcar i aranen!
After making a consideration he went to the house of Mary, mother of John who had the nickname Mark. In the house a quite large number of people were assembled, praying.	Apa carie úvie lendes coanna Maríava, amil Yoháno ye sáme i epesse Marco. I coasse fárea nóte queniva náner ocómienwe, hyámala.
And if somebody says anything to you, say: The Lord has need of them . Then, in the same moment, he will send them!”	Ar qui quén quete aiqua lenta, queta: I Heru same maure túva. Tá, mi imya lú, mentauvas tu!”
Thus also Jesus, for him to hallow the people by his own blood, suffered on the outside of the gate.	Sie yando Yésus, airitieryan i lie véra serceryanen, perpére ettesse i ando.
and he delivered him out of all his tribulations and gave him grace and wisdom before Pharaoh king of Egypt. And he put him to rule Egypt and his entire house.	ar etelehtanes se et ilye şangieryallon ar antane sen lisse ar sailie epe Fáro aran Mirrandoro. Ar hé panyane se turien Mirrandor ar quanda coarya.
But to every single person among us the grace has been given, by the measure by which the gift of the Christ is distributed.	Mal ilya erya quenen mici vi i lisse anaie antaina, i lestanen yanen i Hristo anna etsátina ná.
And he led him away from the crowd to a lonely place and put his fingers into the man's ears and, after spitting, he touched his tongue.	Ar se-tulyanes oa i şangallo eressea nómenna ar panyane leperyar mir i nero hlaru ar, apa piutie, appanes lambarya.
I say to you: This man went home being more righteous than the other, for everyone that exalts himself will be humbled, but he who humbles himself will be exalted.”	Quetin lenna: Nér sina lende marda nála faila lá i exe, an ilquen ye orta inse nauva nucumna, mal sé ye nucume inse nauva ortaina.”
Happy are the thralls whose master, when he returns, finds them watching! Truly I say to you: He will bind around his hip and will allow them to lie at the table, and he will come to be a servant to them.	Valime nar i móli ion heru, íre nanwenis, hire te tíra! Násie quetin lenna: Notuvas os oşwerya ar lavuva tien caita ara i sarno, ar tuluvas náven núro tien.
And the crowed arose against them , and the judges, after the tore their cloaks from them , commanded that one was to beat them with sticks .	Ar i şanga oronte túna, ar i námor, apa narcanelte collattar tullo, canner i mo palpumne tu rundainen.
Going from there he saw also two others who were brothers, James son of Zebedee and John his brother, in the boat with Zebedee their father, repairing their nets – and he called them.	Lelyala talo cennes yú exe atta yet nánet hánor, Yácov Severaion ar Yohannes hánorya, i luntesse as Severai ataretta, envinyatála rembettar – ar yaldeset.
For if anyone has caused grief, he has not caused it to me, but in a measure – not to speak in too harsh a manner – to all among you.	Mal qui aiquen atyárie nyére, uas atyárie sa inyen, mal mi lesta – lá carpien mi acca naraca lé – illin mici le.
As you see, his faith worked with is acts, and by his acts his faith was made perfect.	Ve cenil, savierya móle as cardaryar, ar cardaryainen savierya náne carna ilvana.
