ENGLISH	QUENYA
Thus faith as well, if it does not have acts, is in itself dead..	Thus faith as well, if it does not have acts, is in itself dead..
arose from the evening meal and put away his raiments. He took a linen cloth and girded himself. Thereafter he poured water into a bowl, and he started to wash the feet of the disiciples and to dry them with linen cloth with which he was girded.	arose from the evening meal and put away his raiments. He took a linen cloth and girded himself. Thereafter he poured water into a bowl, and he started to wash the feet of the disiciples and to dry them with linen cloth with which he was girded.
“Behold! My servant whom I have chosen, my beloved one, by whom my soul is pleased. I shall put my spirit in him, and justice he will make known to the nations.	“Behold! My servant whom I have chosen, my beloved one, by whom my soul is pleased. I shall put my spirit in him, and justice he will make known to the nations.
But Peter arose with the twelve and raised his voice and said to them: “Men from Judea and all you that dwell in Jerusalem, may this be known to you, and listen to my sayings:	But Peter arose with the twelve and raised his voice and said to them: “Men from Judea and all you that dwell in Jerusalem, may this be known to you, and listen to my sayings:
Now when Simon saw how the spirit was being given by putting hands , he put silver-pieces before them,	Now when Simon saw how the spirit was being given by putting hands , he put silver-pieces before them,
Furthermore, when he sat on the seat of judgement, his wife sent to him, saying: “May there be nothing between you and that righteous man, for I had great pain today in a dream concerning him!”	Furthermore, when he sat on the seat of judgement, his wife sent to him, saying: “May there be nothing between you and that righteous man, for I had great pain today in a dream concerning him!”
Now people brought to him some children, for him to touch them, but the disciples spoke to them in a harsh manner.	Now people brought to him some children, for him to touch them, but the disciples spoke to them in a harsh manner.
He killed Jacob, the brother of Jacob, by sword.	He killed Jacob, the brother of Jacob, by sword.
When he went out from there the the scribes and the Pharisees started to press against him terribly and to pour upon him questions about other things,	When he went out from there the the scribes and the Pharisees started to press against him terribly and to pour upon him questions about other things,
While you go, make known the message, saying: 'The kingdom of heaven has come near.'	While you go, make known the message, saying: 'The kingdom of heaven has come near.'
Then came to Jesus from Jerusalem some Pharisees and scribes, saying:	Then came to Jesus from Jerusalem some Pharisees and scribes, saying:
when men shall be sick with fear, foreseeing the things coming upon world. For the powers of heaven will be shaken.	when men shall be sick with fear, foreseeing the things coming upon world. For the powers of heaven will be shaken.
The worship that is clean and without stain to our God the Father is this: Heeding the needs of children without parents and of widows in their tribulation, and keeping himself without stain from the world.	The worship that is clean and without stain to our God the Father is this: Heeding the needs of children without parents and of widows in their tribulation, and keeping himself without stain from the world.
Show me a silver-piece of the tax!” They brought to him a denarius. And he said to them: “Whose picture and writing is this?”	Show me a silver-piece of the tax!” They brought to him a denarius. And he said to them: “Whose picture and writing is this?”
Therefore, since we will receive an unshakable kingdom, may we still have grace, by which we may serve God in reverence and awe.	Therefore, since we will receive an unshakable kingdom, may we still have grace, by which we may serve God in reverence and awe.
and lie was not found in their mouth; they are without spot.	and lie was not found in their mouth; they are without spot.
And the child grew and started to be strong, being filled with wisdom, and grace rested on him.	And the child grew and started to be strong, being filled with wisdom, and grace rested on him.
also Mark, Aristarchus, Demas, Luke – who labour with me.	also Mark, Aristarchus, Demas, Luke – who labour with me.
For as they were in those days before the Flood, eating and drinking, marrying and being married off, until the day that Noah went into the ark;	For as they were in those days before the Flood, eating and drinking, marrying and being married off, until the day that Noah went into the ark;
Thus, my brothers, you as well became dead to the Law by the body of Christ, for you to be another's, he who was raised from dead, for us to bear fruit to God.	Thus, my brothers, you as well became dead to the Law by the body of Christ, for you to be another's, he who was raised from dead, for us to bear fruit to God.
Furthermore, you have heard that was said to the old ones: “Do not give a lying oath, but keep for the Lord the oaths that you have given.	Furthermore, you have heard that was said to the old ones: “Do not give a lying oath, but keep for the Lord the oaths that you have given.
But the wisdom from on high is above everything clean. Furthermore, it loves peace, it is gentle, it heeds the will of others, it is full of mercy and of good fruits, it does not heed faces , it is not hypocritical ,	But the wisdom from on high is above everything clean. Furthermore, it loves peace, it is gentle, it heeds the will of others, it is full of mercy and of good fruits, it does not heed faces , it is not hypocritical ,
But Peter said: “Man, I do not know what you are saying!” And in that moment, while he was still speaking, a cock sounded.	But Peter said: “Man, I do not know what you are saying!” And in that moment, while he was still speaking, a cock sounded.
but God of heaven they cursed because of their pain and their ulcers, and they did not find repentance concerning their works.	but God of heaven they cursed because of their pain and their ulcers, and they did not find repentance concerning their works.
In the Law is written: “With the tongues of strangers and with foreign people's lips I will speak to this people, and even then they will not listen to me, says the Lord.”	In the Law is written: “With the tongues of strangers and with foreign people's lips I will speak to this people, and even then they will not listen to me, says the Lord.”
If one indeed receives a perfect state through the priesthood of Levites – for that was a part when the Law was given to the people – how was there still a need that would arise another priest, after the manner of Melchizedek and not said to be after Aaron's manner?	If one indeed receives a perfect state through the priesthood of Levites – for that was a part when the Law was given to the people – how was there still a need that would arise another priest, after the manner of Melchizedek and not said to be after Aaron's manner?
In the same manner, my heavenly Father's will is not that a single among these little ones will be lost.	In the same manner, my heavenly Father's will is not that a single among these little ones will be lost.
And he wrote a message having these words:	And he wrote a message having these words:
To anyone who seeks to keep his life it will be lost, but a person it is lost to, will save it.	To anyone who seeks to keep his life it will be lost, but a person it is lost to, will save it.
